POS	word_en_1	word_en_2	word_ro_1	word_ro_2	ro pair accept	conc(w1)	conc(w2)	en human  scores	ro human scores	ro human scores specialists	Corola (400.5)	Corola (300.20)	Facebook	Conll (2017)	path (ro)	lch (ro)	wup  (ro)	path (en)	lch (en)	wup (en)
N	bathroom	bedroom	baie	dormitor	1	4.52	4.9	3.4	1.1	1.25	0.67	0.7	0.52	0.73	0.25	3	0.86	0.33	2.54	0.89
N	plate	bowl	farfurie	castron	1	4.77	4.87	5.23	2.95	3.33	0.76	0.77	0.49	0.73	0.14	2.19	0.71	0.33	2.54	0.83
N	meat	bacon	carne	șuncă	1	4.9	4.9	5.8	4.47	2.92	0.59	0.65	0.38	0.62	0.2	2.68	0.73	0.25	2.25	0.8
N	air	helium	aer	heliu	1	4.11	3.96	3.63	2.9	1.25	0.52	0.54	0.32	0.46	0.2	2.68	0.5	0.25	2.25	0.77
N	worker	employer	muncitor	angajator	1	4.59	3.81	5.37	1.7	0.42	0.27	0.3	0.42	0.53	0.2	2.68	0.77	0.25	2.25	0.71
N	body	chest	corp	piept	1	4.79	4.93	4.45	2.17	0.83	0.33	0.4	0.32	0.31	0.25	3	0.75	0.33	2.54	0.83
N	son	father	fiu	tată	1	4.14	4.52	3.82	1.85	0.42	0.59	0.67	0.35	0.56	0.14	2.19	0.63	0.33	2.54	0.91
N	heart	surgery	inimă	chirurgie	1	4.52	4.34	1.08	1.95	0.42	0.22	0.23	0.21	0.33	0.08	1.3	0.48	0.11	1.44	0.56
N	woman	secretary	femeie	secretară	1	4.46	4.54	1.98	2.17	0.42	0.44	0.51	0.33	0.45	0.17	2.42	0.71	0.17	1.85	0.63
N	man	father	bărbat	tată	1	4.79	4.52	4.83	3.77	3.33	0.56	0.61	0.28	0.72	0.14	2.19	0.63	0.25	2.25	0.71
N	beach	island	plajă	insulă	1	4.79	4.96	5.6	3.05	0.83	0.53	0.55	0.42	0.66	0.17	2.42	0.33	0.2	2.03	0.6
N	story	topic	poveste	subiect	1	3.3	2.59	5	2.98	2.5	0.33	0.37	0.34	0.27	0.33	3.42	0.94	0.33	2.54	0.8
N	game	fun	joc	distracție	1	4.5	1.97	3.42	5.07	4.58	0.44	0.47	0.3	0.35	0.33	3.42	0.93	0.33	2.54	0.88
N	weekend	week	weekend	săptămână	1	3.83	3.48	4	2.37	0.83	0.46	0.52	0.29	0.42	0.25	3	0.83	0.33	2.54	0.83
N	couple	pair	cuplu	pereche	1	3.93	3.88	8.33	8.93	9.58	0.42	0.45	0.38	0.37	1	4	1	1	3.64	1
N	woman	wife	femeie	soție	1	4.46	4.13	5.72	4.9	6.25	0.51	0.57	0.27	0.56	0.33	3.42	0.93	0.5	2.94	0.95
N	sheep	cattle	oaie	cireadă	1	4.9	4.64	4.77	1.82	0.83	0.44	0.5	0.44	0.57	0.2	2.68	0.9	0.25	2.25	0.91
N	purse	bag	poșetă	geantă	1	4.9	4.9	8.33	8.18	8.33	0.73	0.77	0.59	0.8	1	4	1	1	3.64	1
N	ceiling	cathedral	tavan	catedrală	1	4.85	4.86	2.42	0.92	0.42	0.34	0.42	0.21	0.4	0.09	1.54	0.4	0.1	1.34	0.53
N	bean	coffee	bob	cafea	1	5	4.81	5.15	2.38	0.42	0.26	0.3	0.26	0.22	0.2	2.68	0.84	0.33	2.54	0.91
N	wood	paper	lemn	hârtie	1	4.85	4.93	2.88	1.95	2.08	0.36	0.35	0.22	0.42	0.2	2.68	0.67	0.25	2.25	0.8
N	crime	fraud	infracțiune	fraudă	1	3.03	1.68	5.65	7.38	7.5	0.38	0.4	0.39	0.72	0.33	3.42	0.95	0.5	2.94	0.95
N	pain	harm	durere	daună	1	3.5	2.62	5.38	2.42	2.08	0.23	0.25	0.22	0.28	0.11	1.83	0.59	0.12	1.56	0.53
N	lover	companion	iubit	companion	1	3.68	3.75	5.97	4.4	4.58	0.38	0.41	0.27	0.31	0.2	2.68	0.77	0.25	2.25	0.71
N	evening	dusk	seară	amurg	1	3.26	4.24	7.78	6.82	7.92	0.51	0.54	0.36	0.35	0.07	1.19	0.25	0.08	1.07	0.25
N	father	daughter	tată	fiică	1	4.52	4.79	2.62	1.7	0.83	0.58	0.64	0.51	0.75	0.11	1.83	0.57	0.17	1.85	0.63
N	wine	liquor	vin	lichior	1	4.79	4.73	7.85	1.98	1.25	0.49	0.55	0.38	0.51	0.25	3	0.83	0.33	2.54	0.9
N	cow	goat	vacă	capră	1	4.96	5	2.93	1.38	0.83	0.62	0.66	0.53	0.87	0.17	2.42	0.87	0.2	2.03	0.88
N	belief	opinion	credință	opinie	1	1.19	1.93	7.7	3.52	5	0.36	0.36	0.22	0.44	1	4	1	1	3.64	1
N	reality	illusion	realitate	iluzie	1	1.72	2.48	1.42	0.25	0.42	0.63	0.69	0.63	0.81	0.14	2.19	0.67	0.17	1.85	0.67
N	pact	agreement	pact	înțelegere	1	2.52	2.22	9.02	8.55	9.17	0.44	0.46	0.4	0.51	1	4	1	0.33	2.54	0.86
N	wealth	poverty	bunăstare	sărăcie	1	2.63	2.54	1.27	0.15	0.42	0.46	0.46	0.44	0.78	0.25	3	0.86	0.33	2.54	0.86
N	accident	emergency	accident	urgență	1	3.26	2.41	4.93	2.95	2.08	0.22	0.27	0.22	0.35	0.17	2.42	0.71	0.2	2.03	0.71
N	battle	conquest	bătălie	cucerire	1	4	2.54	7.22	3.4	3.33	0.56	0.59	0.23	0.66	0.12	2	0.62	0.17	1.85	0.67
N	friend	teacher	prieten	profesor	1	3.07	4.52	2.62	1.23	0	0.39	0.43	0.48	0.43	0.14	2.19	0.67	0.17	1.85	0.63
N	illness	infection	boală	infecție	1	3.54	4.1	6.9	4.87	5.83	0.51	0.57	0.46	0.82	0.2	2.68	0.84	0.33	2.54	0.89
N	game	trick	joc	șmecherie	1	4.5	3.36	2.32	1.92	3.33	0.34	0.38	0.2	0.19	0.2	2.68	0.8	0.33	2.54	0.88
N	brother	son	frate	fiu	1	4.43	4.14	3.48	1.48	0.42	0.57	0.65	0.45	0.68	0.2	2.68	0.8	0.17	1.85	0.63
N	aunt	nephew	mătușă	nepot	1	4.17	4.48	3.1	1.85	1.25	0.58	0.65	0.22	0.56	0.17	2.42	0.75	0.2	2.03	0.6
N	worker	mechanic	muncitor	mecanic	1	4.59	4.38	4.92	3.05	1.67	0.45	0.46	0.48	0.66	0.2	2.68	0.8	0.25	2.25	0.63
N	doctor	orthodontist	doctor	ortodont	1	4.69	4.43	5.58	4.62	5.42	0.2	0.2	0.48	0.59	0.25	3	0.9	0.25	2.25	0.88
N	oak	maple	stejar	arțar	1	4.82	4.46	6.03	2.73	0.83	0.53	0.56	0.42	0.65	0.25	3	0.84	0.33	2.54	0.89
N	bee	queen	albină	matcă	1	4.88	4.45	3.27	4.53	2.92	0.42	0.46	0.33	0.71	0.2	2.68	0.84	0.25	2.25	0.87
N	car	bicycle	mașină	bicicletă	1	4.89	4.89	3.47	1.17	0.42	0.62	0.69	0.28	0.73	0.2	2.68	0.82	0.33	2.54	0.8
N	goal	quest	scop	căutare	1	3.06	2.87	5.83	3.2	3.33	0.18	0.21	0.17	0.26	0.12	2	0.57	0.14	1.69	0.57
N	august	month	august	lună	1	3.04	4.2	5.53	3.08	0.83	0.28	0.29	0.25	0.39	0.25	3	0.86	0.33	2.54	0.86
N	army	squad	armată	pluton	1	4.7	3.65	5.08	4.93	3.33	0.48	0.54	0.33	0.58	0.25	3	0.88	0.2	2.03	0.75
N	cloud	weather	nor	vreme	1	4.54	3.83	4.87	2.3	0.42	0.32	0.32	0.14	0.36	0.25	3	0.83	0.33	2.54	0.88
N	physician	doctor	medic	doctor	1	4.65	4.69	8.88	9.25	10	0.5	0.47	0.67	0.76	1	4	1	1	3.64	1
N	canyon	valley	canion	vale	1	4.81	4.72	6.75	5.97	7.5	0.54	0.56	0.44	0.49	0.25	3	0.8	0.33	2.54	0.86
N	sun	sky	soare	cer	1	4.83	4.45	2.27	2.48	1.67	0.49	0.54	0.38	0.44	0.11	1.92	0.25	0.09	1.24	0.29
N	target	arrow	țintă	săgeată	1	4.11	4.97	3.25	2.62	1.67	0.35	0.41	0.37	0.63	0.12	2	0.56	0.12	1.56	0.6
N	chocolate	pie	ciocolată	plăcintă	1	4.72	4.92	2.27	1.17	0	0.6	0.64	0.21	0.75	0.17	2.42	0.6	0.2	2.03	0.71
N	circumstance	situation	circumstanță	situație	1	1.77	2.03	7.85	8.37	9.58	0.36	0.34	0.37	0.76	0.33	3.42	0.92	0.33	2.54	0.83
N	opinion	choice	opinie	alegere	1	1.93	1.9	5.43	4.25	1.67	0.26	0.27	0.38	0.4	0.11	1.83	0.53	0.14	1.69	0.62
N	rhythm	melody	ritm	melodie	1	3.07	3.71	6.12	3.68	3.75	0.37	0.38	0.32	0.36	0.2	2.68	0.73	0.12	1.56	0.46
N	gut	nerve	curaj	tupeu	1	4.15	3.89	4.93	6.53	8.33	0.55	0.57	0.49	0.68	0.2	2.68	0.77	0.11	1.44	0.56
N	day	dawn	zi	zori	1	3.92	4.46	5.47	4.37	3.33	0.42	0.49	0.23	0.58	0.25	3	0.83	0.33	2.54	0.83
N	cattle	beef	cireadă	vită	1	4.64	4.74	7.03	3.3	2.08	0.31	0.35	0.32	0.6	0.33	3.42	0.97	0.5	2.94	0.97
N	doctor	professor	doctor	profesor	1	4.69	4.86	4.65	2.55	1.25	0.65	0.65	0.66	0.7	0.17	2.42	0.78	0.14	1.69	0.55
N	arm	vein	braț	venă	1	4.96	4.63	3.65	1.95	1.25	0.34	0.4	0.22	0.55	0.09	1.54	0.4	0.12	1.56	0.59
N	room	bath	cameră	baie	1	4.79	4.85	3.33	1.95	0.83	0.47	0.52	0.39	0.46	0.25	3	0.86	0.5	2.94	0.94
N	corporation	business	corporație	afacere	1	2.79	3.28	9.02	4.57	4.17	0.58	0.61	0.38	0.41	0.25	3	0.88	0.33	2.54	0.88
N	fun	football	distracție	fotbal	1	1.97	4.73	1.97	2.02	0.42	0.33	0.38	0.23	0.41	0.17	2.42	0.7	0.2	2.03	0.78
N	hill	cliff	deal	stâncă	1	4.93	4.71	4.28	1.32	0.83	0.54	0.6	0.22	0.59	0.2	2.68	0.57	0.25	2.25	0.73
N	bone	ankle	os	gleznă	1	4.9	4.81	3.82	2.05	1.67	0.32	0.39	0.16	0.35	0.12	2	0.5	0.11	1.44	0.56
N	apple	candy	măr	bomboană	1	5	4.83	2.08	0.38	0	0.47	0.55	0.27	0.68	0.08	1.3	0.15	0.08	1.15	0.35
N	helper	maid	ajutor	slujnică	1	3.39	4.64	5.58	4	5	0.19	0.2	0.1	0.23	0.17	2.42	0.75	0.2	2.03	0.6
N	leader	manager	conducător	manager	1	3.89	4.14	7.27	6.28	7.92	0.38	0.43	0.28	0.37	0.25	3	0.88	0.33	2.54	0.67
N	lemon	tea	lămâie	ceai	1	5	4.69	1.6	1.92	0.42	0.63	0.71	0.26	0.68	0.09	1.54	0.27	0.12	1.56	0.72
N	bee	ant	albină	furnică	1	4.88	4.86	2.78	1.53	1.25	0.55	0.59	0.43	0.73	0.25	3	0.9	0.33	2.54	0.92
N	basketball	baseball	baschet	baseball	1	4.97	4.86	4.92	2.05	0.83	0.6	0.65	0.59	0.75	0.17	2.42	0.14	0.33	2.54	0.9
N	rice	bean	orez	fasole	1	4.86	5	2.72	1.23	0.83	0.66	0.72	0.52	0.88	0.12	2	0.7	0.14	1.69	0.75
N	bed	furniture	pat	mobilă	1	5	4.89	6.08	2.73	1.67	0.3	0.34	0.29	0.32	0.25	3	0.86	0.33	2.54	0.89
N	emotion	passion	emoție	pasiune	1	2.44	2.3	7.72	4.93	4.17	0.57	0.59	0.32	0.51	0.25	3	0.86	0.33	2.54	0.83
N	anarchy	chaos	anarhie	haos	1	2.12	2.79	7.93	6.53	9.58	0.63	0.68	0.59	0.77	0.2	2.68	0.77	0.25	2.25	0.77
N	crime	violation	infracțiune	violare	1	3.03	2.67	7.12	5.75	8.33	0.44	0.44	0.41	0.71	0.2	2.68	0.82	0.5	2.94	0.95
N	machine	engine	mașină	motor	1	4.25	4.86	5.58	2.92	2.5	0.43	0.44	0.16	0.38	0.33	3.42	0.92	0.33	2.54	0.89
N	beach	sea	plajă	mare	1	4.79	4.79	4.68	4.18	2.08	0.16	0.24	0.24	0.26	0.14	2.19	0.29	0.14	1.69	0.4
N	alley	bowl	culoar	bilă	1	4.82	4.87	1.53	0.78	0	0.25	0.3	0	0.27	0.14	2.19	0.55	0.14	1.69	0.62
N	jar	bottle	borcan	sticlă	1	5	4.91	7.83	2.58	1.67	0.49	0.57	0.43	0.5	0.25	3	0.86	0.33	2.54	0.89
N	strength	capability	tărie	capacitate	1	2.96	1.93	5.28	3.52	5	0.3	0.26	0.14	0.27	0.14	2.19	0.62	0.5	2.94	0.92
N	seed	mustard	sămânță	muștar	1	4.71	4.93	3.48	1.13	0.83	0.4	0.5	0.31	0.65	0.12	2	0.24	0.1	1.34	0.57
N	guitar	drum	chitară	tobă	1	4.9	4.96	3.78	1.53	0.83	0.44	0.48	0.32	0.62	0.17	2.42	0.75	0.2	2.03	0.8
N	opinion	idea	opinie	idee	1	1.93	1.61	5.7	5.7	5.83	0.44	0.45	0.41	0.53	1	4	1	0.5	2.94	0.93
N	north	west	nord	vest	1	4.14	3.44	3.63	1.17	1.25	0.77	0.79	0.9	0.86	0.25	3	0.88	0.33	2.54	0.88
N	diet	salad	dietă	salată	1	3.21	4.97	2.98	2.3	0.42	0.35	0.41	0.28	0.65	0.14	2.19	0.55	0.17	1.85	0.67
N	mother	wife	mamă	soție	1	4.6	4.13	3.02	3.52	1.67	0.53	0.6	0.39	0.66	0.14	2.19	0.53	0.25	2.25	0.57
N	dad	mother	tată	mamă	1	4.29	4.6	3.55	2.67	2.08	0.67	0.73	0.59	0.89	0.25	3	0.91	0.25	2.25	0.89
N	captain	sailor	căpitan	marinar	1	4.19	4.86	5	3.8	1.67	0.55	0.62	0.41	0.57	0.25	3	0.9	0.25	2.25	0.87
N	meter	yard	metru	yard	1	4.7	4.82	5.6	3.9	1.67	0.27	0.33	0.4	0.19	0.2	2.68	0.8	0.25	2.25	0.8
N	beer	champagne	bere	șampanie	1	4.88	4.82	4.45	1.73	0.83	0.56	0.6	0.48	0.59	0.17	2.42	0.71	0.17	1.85	0.78
N	motor	boat	motor	barcă	1	4.84	4.93	2.57	2.27	2.08	0.39	0.45	0.35	0.33	0.1	1.68	0.5	0.14	1.69	0.67
N	science	psychology	știință	psihologie	1	2.79	2.31	4.92	3.2	0.83	0.55	0.55	0.22	0.45	0.33	3.42	0.94	0.5	2.94	0.94
N	sinner	saint	păcătos	sfânt	1	3.07	3.45	1.6	0.15	0.42	0.52	0.56	0.41	0.63	0.14	2.19	0.67	0.17	1.85	0.63
N	destruction	construction	distrugere	construcție	1	3.21	3.72	0.98	0.22	0.42	0.25	0.25	0.22	0.35	0.1	1.68	0.56	0.11	1.44	0.53
N	crowd	bunch	mulțime	gașcă	1	4.52	3.5	7.42	5.67	6.67	0.45	0.52	0.4	0.7	0.25	3	0.83	1	3.64	1
N	beach	reef	plajă	recif	1	4.79	4.7	3.77	1.52	0.42	0.38	0.45	0.32	0.54	0.17	2.42	0.5	0.2	2.03	0.67
N	man	child	bărbat	copil	1	4.79	4.78	4.13	0.92	0.42	0.52	0.55	0.4	0.5	0.25	3	0.83	0.33	2.54	0.75
N	bread	cheese	pâine	brânză	1	4.92	4.7	1.95	0.92	0	0.6	0.69	0.42	0.82	0.2	2.68	0.18	0.25	2.25	0.75
N	champion	winner	campion	câștigător	1	3.82	3.21	8.73	8.75	8.75	0.46	0.51	0.25	0.66	0.2	2.68	0.8	0.25	2.25	0.71
N	celebration	ceremony	sărbătorire	ceremonie	1	3.47	3.57	7.72	7.2	8.75	0.54	0.59	0.46	0.64	0.25	3	0.86	0.33	2.54	0.86
N	king	princess	rege	prințesă	1	4.1	4.72	3.27	2.27	1.25	0.59	0.61	0.29	0.64	0.14	2.19	0.67	0.17	1.85	0.6
N	wealth	prestige	bunăstare	prestigiu	1	2.63	1.61	6.07	2.9	2.08	0.33	0.38	0.25	0.33	0.14	2.19	0.62	0.14	1.69	0.57
N	endurance	strength	rezistență	tărie	1	2	2.96	6.58	7.45	8.33	0.33	0.29	0.26	0.49	0.25	3	0.83	0.5	2.94	0.91
N	danger	threat	pericol	amenințare	1	2.68	2.52	8.78	8.15	10	0.54	0.57	0.5	0.45	1	4	1	0.5	2.94	0.89
N	god	priest	dumnezeu	preot	1	2.07	4.77	4.5	1.8	0.83	0.46	0.53	0.37	0.56	0.11	1.83	0.11	0.2	2.03	0.6
N	buddy	companion	tovarăș	companion	1	3.48	3.75	8.65	6.35	9.58	0.45	0.46	0.31	0.5	1	4	1	0.33	2.54	0.67
N	teacher	helper	profesor	ajutor	1	4.52	3.39	4.28	2.63	1.67	0.21	0.22	0.29	0.24	0.12	2	0.62	0.14	1.69	0.6
N	body	stomach	corp	stomac	1	4.79	4.89	3.93	1.88	0.83	0.35	0.39	0.36	0.39	0.17	2.42	0.6	0.33	2.54	0.83
N	tongue	throat	limbă	gâtlej	1	4.93	4.97	3.1	1.8	0.83	0.25	0.32	0.23	0.39	0.12	2	0.5	0.2	2.03	0.71
N	house	carpet	casă	covor	1	5	4.96	1.38	1.03	0	0.3	0.37	0.09	0.36	0.14	2.19	0.5	0.14	1.69	0.62
N	intelligence	skill	inteligență	abilitate	1	2.24	2.17	5.35	5.1	6.67	0.35	0.32	0.41	0.45	0.11	1.83	0.36	0.33	2.54	0.83
N	journey	conquest	călătorie	cucerire	1	2.57	2.54	4.72	1.1	2.08	0.29	0.37	0.28	0.39	0.11	1.83	0.63	0.11	1.44	0.6
N	god	prey	zeu	pradă	1	2.07	3.61	1.23	0.25	0	0.37	0.38	0.13	0.33	0.09	1.54	0.31	0.14	1.69	0.67
N	brother	soul	frate	suflet	1	4.43	1.86	0.97	1.32	0	0.46	0.5	0.38	0.46	0.12	2	0.25	0.33	2.54	0.75
N	adversary	opponent	adversar	oponent	1	2.93	3.52	9.05	9	10	0.63	0.68	0.61	0.86	0.2	2.68	0.77	1	3.64	0.75
N	death	catastrophe	moarte	catastrofă	1	3.73	2.96	4.13	3.77	4.17	0.38	0.42	0.32	0.44	0.17	2.42	0.67	0.2	2.03	0.71
N	monster	demon	monstru	demon	1	3.72	3.32	6.95	6.03	6.67	0.63	0.68	0.43	0.61	0.08	1.3	0.42	1	3.64	1
N	day	morning	zi	dimineață	1	3.92	3.44	4.87	3.47	2.92	0.55	0.59	0.35	0.5	0.25	3	0.83	0.33	2.54	0.83
N	man	victor	bărbat	învingător	1	4.79	2.88	1.9	1	0	0.45	0.43	0.21	0.49	0.25	3	0.83	0.25	2.25	0.71
N	friend	guy	prieten	tip	1	3.07	4.68	3.88	2.38	3.33	0.15	0.16	0.23	0.31	0.25	3	0.88	0.2	2.03	0.67
N	song	story	cântec	poveste	1	4.46	3.3	3.97	1.23	0	0.53	0.54	0.28	0.41	0.12	2	0.57	0.17	1.85	0.55
N	guy	stud	tip	mascul	1	4.68	4	5.83	4.93	5.42	0.24	0.29	0.24	0.17	0.17	2.42	0.67	0.33	2.54	0.9
N	chicken	rice	pui	orez	1	4.8	4.86	1.43	0.75	0	0.38	0.43	0.36	0.67	0.09	1.54	0.47	0.14	1.69	0.6
N	box	elevator	cutie	lift	1	4.9	4.79	1.32	0.85	0	0.37	0.46	0.2	0.33	0.14	2.19	0.62	0.17	1.85	0.71
N	apartment	furniture	apartament	mobilă	1	4.9	4.89	1.28	1.63	0.42	0.32	0.37	0.25	0.25	0.12	2	0.5	0.14	1.69	0.62
N	lake	swamp	lac	mlaștină	1	4.88	4.96	4.92	3.08	2.5	0.57	0.61	0.2	0.56	0.14	2.28	0.33	0.12	1.56	0.36
N	salad	vinegar	salată	oțet	1	4.97	4.89	1.13	1.73	0.83	0.56	0.61	0.13	0.67	0.1	1.68	0.43	0.11	1.44	0.56
N	flower	bulb	floare	bulb	1	5	4.93	4.48	2.38	2.08	0.36	0.38	0.3	0.46	0.17	2.42	0.71	0.2	2.03	0.78
N	cloud	mist	nor	ceață	1	4.54	4.51	6.67	2.8	4.17	0.55	0.6	0.25	0.58	0.25	3	0.83	0.25	2.25	0.82
N	driver	pilot	șofer	pilot	1	4.71	4.67	6.28	4.15	5.83	0.31	0.36	0.3	0.52	0.33	3.42	0.86	0.2	2.03	0.61
N	sugar	honey	zahăr	miere	1	4.87	4.88	5.13	2.95	3.75	0.52	0.64	0.25	0.64	0.25	3	0.88	0.33	2.54	0.9
N	body	shoulder	corp	umăr	1	4.79	4.93	2.88	1.85	0.83	0.31	0.36	0.15	0.31	0.25	3	0.75	0.33	2.54	0.83
N	idea	image	idee	imagine	1	1.61	3.85	3.55	2.45	5	0.52	0.54	0.46	0.53	0.2	2.68	0.77	0.25	2.25	0.77
N	father	brother	tată	frate	1	4.52	4.43	4.2	1.52	0.83	0.76	0.8	0.33	0.67	0.17	2.42	0.67	0.2	2.03	0.67
N	moon	planet	lună	planetă	1	4.9	4.58	5.87	1.98	1.25	0.33	0.35	0.16	0.61	0.2	2.68	0.73	0.25	2.25	0.8
N	ball	costume	bal	costumație	1	5	4.57	2.32	2.38	0.42	0.46	0.53	0.23	0.53	0.07	1.19	0.12	0.14	1.69	0.62
N	rail	fence	bară	gard	1	4.9	4.82	5.22	1.63	1.25	0.39	0.43	0.17	0.28	0.2	2.68	0.8	0.33	2.54	0.89
N	room	bed	cameră	pat	1	4.79	5	2.35	1.92	0.83	0.41	0.46	0.39	0.54	0.12	2	0.53	0.2	2.03	0.71
N	flower	bush	floare	tufiș	1	5	4.9	4.25	1.32	0.83	0.48	0.55	0.23	0.44	0.08	1.3	0.14	0.17	1.85	0.76
N	bone	knee	os	genunchi	1	4.9	5	4.17	2.2	1.67	0.3	0.38	0.14	0.33	0.12	2	0.5	0.14	1.69	0.62
N	arm	knee	braț	genunchi	1	4.96	5	2.75	1.17	0.83	0.63	0.67	0.15	0.46	0.12	2	0.5	0.33	2.54	0.88
N	cat	rabbit	pisică	iepure	1	4.86	4.93	2.37	0.95	0.83	0.53	0.59	0.41	0.49	0.12	2	0.75	0.14	1.69	0.79
N	meat	sandwich	carne	sandviș	1	4.9	4.9	2.35	1.23	0.83	0.41	0.51	0.29	0.49	0.09	1.54	0.18	0.1	1.34	0.4
N	belief	concept	credință	concept	1	1.19	1.41	5.08	4.12	4.17	0.31	0.28	0.14	0.24	0.2	2.68	0.77	0.33	2.54	0.86
N	intelligence	insight	inteligență	intuiție	1	2.24	1.72	5.9	4.03	5.42	0.71	0.72	0.46	0.8	0.14	2.19	0.62	0.2	2.03	0.67
N	attention	interest	atenție	interes	1	2.3	1.8	7.22	6.32	7.5	0.33	0.32	0.32	0.32	1	4	1	0.2	2.03	0.75
N	attitude	confidence	atitudine	încredere	1	1.97	2.17	4.35	2.92	5.42	0.44	0.45	0.37	0.53	0.25	3	0.8	0.12	1.56	0.46
N	argument	agreement	ceartă	înțelegere	1	2.85	2.22	1.45	0.13	0.42	0.34	0.35	0.21	0.57	0.14	2.19	0.67	0.25	2.25	0.78
N	depth	magnitude	adâncime	magnitudine	1	3.11	2.43	6.12	2.87	2.08	0.46	0.51	0.31	0.58	0.25	3	0.83	0.33	2.54	0.83
N	winner	candidate	câștigător	candidat	1	3.21	3.81	2.78	1.73	0.83	0.44	0.46	0.19	0.46	0.25	3	0.83	0.33	2.54	0.75
N	fee	payment	taxă	plată	1	3.89	3.91	7.15	6.25	5.83	0.31	0.35	0.24	0.56	0.17	2.42	0.78	0.2	2.03	0.78
N	bible	hymn	biblie	imn	1	4.61	4.04	5.15	0.88	0.83	0.36	0.38	0.2	0.33	0.07	1.19	0.25	0.1	1.34	0.4
N	exit	doorway	ieșire	ușă	1	3.93	4.75	5.5	4.05	5.83	0.36	0.39	0.29	0.65	0.17	2.42	0.6	0.14	1.69	0.62
N	man	sentry	bărbat	santinelă	1	4.79	4.04	3.25	1.2	0.83	0.24	0.26	0.04	0.44	0.14	2.19	0.67	0.14	1.69	0.6
N	aisle	hall	culoar	sală	1	4.35	4.67	6.35	1.42	0	0.43	0.45	0.26	0.32	0.12	2	0.5	0.25	2.25	0.84
N	whiskey	gin	whiskey	gin	1	4.74	4.46	6.28	2.87	0.83	0.63	0.64	0.56	0.73	0.25	3	0.86	0.33	2.54	0.91
N	blood	marrow	sânge	măduvă	1	4.86	4.48	3.4	1.85	1.25	0.46	0.53	0.37	0.69	0.08	1.42	0.15	0.12	1.56	0.55
N	floor	deck	podea	punte	1	4.8	4.77	5.55	3.02	2.08	0.36	0.38	0.24	0.49	0.2	2.68	0.77	0.25	2.25	0.82
N	roof	floor	acoperiș	podea	1	4.79	4.8	2.62	0.47	0.83	0.5	0.56	0.25	0.51	0.2	2.68	0.67	0.33	2.54	0.92
N	door	floor	ușă	podea	1	4.81	4.8	1.67	0.67	0.83	0.59	0.64	0.21	0.58	0.17	2.42	0.6	0.33	2.54	0.89
N	shoulder	head	umăr	cap	1	4.93	4.75	3.42	0.97	1.25	0.33	0.36	0.23	0.6	0.2	2.68	0.67	0.25	2.25	0.77
N	car	carriage	mașină	trăsură	1	4.89	4.86	5.13	1.52	0.83	0.41	0.46	0.38	0.58	0.14	2.19	0.74	0.5	2.94	0.95
N	elbow	ankle	cot	gleznă	1	5	4.81	3.13	0.85	0.83	0.5	0.56	0.32	0.54	0.17	2.42	0.71	0.2	2.03	0.78
N	wealth	fame	bunăstare	faimă	1	2.63	1.96	4.02	2.17	2.5	0.32	0.35	0.32	0.66	0.12	2	0.57	0.12	1.56	0.53
N	sorrow	shame	necaz	rușine	1	2.36	2.24	4.77	2.33	2.92	0.59	0.63	0.17	0.43	0.33	3.42	0.92	0.25	2.25	0.77
N	communication	conversation	comunicare	conversație	1	2.9	3.28	8.02	7.23	6.25	0.42	0.44	0.43	0.46	0.2	2.68	0.67	0.25	2.25	0.67
N	pollution	atmosphere	poluare	atmosferă	1	3.75	3.04	4.25	2.08	0.83	0.34	0.42	0.33	0.35	0.2	2.68	0.77	0.25	2.25	0.77
N	anatomy	biology	anatomie	biologie	1	3.59	3.48	5.33	3.93	1.67	0.57	0.62	0.51	0.79	0.25	3	0.92	0.33	2.54	0.92
N	college	profession	colegiu	profesie	1	4.62	2.83	3.12	1.98	0	0.34	0.36	0.28	0.59	0.09	1.54	0.31	0.25	2.25	0.77
N	book	topic	carte	subiect	1	4.9	2.59	2.07	1.98	0.83	0.26	0.26	0.31	0.34	0.14	2.19	0.62	0.2	2.03	0.67
N	formula	equation	formulă	ecuație	1	4.11	3.65	7.95	5.03	5	0.57	0.58	0.35	0.68	0.25	3	0.86	0.33	2.54	0.86
N	book	information	carte	informație	1	4.9	2.87	5	3.87	4.58	0.38	0.37	0.27	0.41	0.14	2.19	0.55	0.33	2.54	0.83
N	boy	partner	băiat	partener	1	4.76	3.53	1.9	3.05	2.08	0.39	0.41	0.11	0.38	0.2	2.68	0.77	0.25	2.25	0.71
N	sky	universe	cer	univers	1	4.45	3.85	4.68	3.08	2.5	0.4	0.39	0.26	0.3	0.1	1.68	0.5	0.1	1.34	0.31
N	population	people	populație	oameni	1	3.64	4.82	7.68	6.63	8.33	0.36	0.36	0.28	0.3	1	4	1	0.5	2.94	0.89
N	college	class	colegiu	clasă	1	4.62	3.85	4.13	2.45	1.67	0.26	0.3	0.31	0.41	0.17	2.42	0.67	0.2	2.03	0.67
N	chief	mayor	șef	primar	1	4.26	4.37	4.85	3.02	1.25	0.28	0.38	0.17	0.49	0.2	2.68	0.71	0.25	2.25	0.63
N	rabbi	minister	rabin	pastor	1	4.64	4.22	7.62	4.47	4.17	0.49	0.61	0.43	0.5	0.17	2.42	0.78	0.25	2.25	0.57
